-2.5,0.0,3.2
-1.8,2.3,2.5
0.3,1.5,4.1
1.2,0.0,5.7
3.6,3.2,6.3
2.9,0.5,4.8
4.7,0.0,7.2
5.8,1.8,6.9
7.1,0.2,8.3
6.4,4.1,5.6
8.9,0.0,9.1
10.2,2.7,7.8
11.5,0.3,10.2
13.0,0.0,11.5
14.7,1.9,9.8
16.2,0.1,12.3
18.5,3.6,10.7
20.1,0.0,13.6
22.4,2.8,11.9
24.0,0.4,14.2
25.8,0.0,15.0
27.3,1.6,13.8
28.9,0.2,14.7
30.2,0.0,15.5
31.5,3.9,12.1
30.8,0.7,14.3
29.6,0.0,15.1
28.1,2.1,13.4
26.7,0.3,14.8
25.2,0.0,15.3
23.9,1.4,13.9
22.3,0.1,14.6
20.8,3.3,11.2
19.2,0.0,13.7
17.5,2.5,12.4
15.9,0.6,13.1
14.2,0.0,14.5
12.6,1.7,12.8
10.9,0.2,13.3
9.3,3.7,10.6
7.8,0.0,12.2
6.1,2.2,11.7
4.5,0.4,12.9
2.8,0.0,11.4
1.2,1.3,10.8
-0.5,3.0,9.5
-2.1,0.1,10.3
-3.8,0.0,9.7
-2.7,2.6,8.9
-1.4,0.3,10.1
0.9,0.0,11.8
2.3,1.9,10.5
3.8,0.2,12.7
5.2,3.4,9.9
6.7,0.0,13.2
8.1,2.0,11.6
9.6,0.5,12.4
11.0,0.0,14.1
12.5,1.5,12.9
14.0,0.1,13.7
15.5,3.8,10.9
17.0,0.0,14.4
18.6,2.4,12.6
20.1,0.3,13.5
21.7,0.0,15.2
23.3,1.2,14.0
24.9,0.6,14.9
26.5,3.1,11.3
28.1,0.0,15.4
29.7,2.9,13.0
31.3,0.4,14.6
32.9,0.0,15.7
34.5,1.8,13.6
33.1,0.2,14.3
31.7,3.5,11.1
30.3,0.0,13.9
28.9,2.3,12.5
27.5,0.7,13.4
26.1,0.0,14.8
24.7,1.6,13.2
23.3,0.1,14.1
21.9,3.2,11.0
20.5,0.0,12.8
19.1,2.7,11.5
17.7,0.5,13.0
16.3,0.0,14.2
14.9,1.4,12.3
13.5,0.3,13.5
12.1,3.6,10.4
10.7,0.0,11.9
9.3,2.1,11.4
7.9,0.6,12.6
6.5,0.0,13.3
5.1,1.7,11.8
3.7,0.2,12.7
2.3,3.3,9.8
0.9,0.0,11.2
-0.5,2.5,10.7
-1.9,0.4,11.6
-3.3,0.0,10.5
-1.7,1.9,9.6
0.1,0.1,11.3
1.8,3.7,8.7
3.4,0.0,12.0
5.0,2.2,10.9
6.6,0.3,12.1
8.2,0.0,13.8
9.8,1.5,12.2
11.4,0.5,13.2
13.0,3.0,10.2
14.6,0.0,14.0
